skill,x,y,size
consultant,184.23606872558594,524.8408355712891,70
manager,139.30055236816406,492.40577697753906,28
senior manager,407.7538070678711,486.9893341064453,8
director,101.35725402832031,475.6220703125,64
program manager,125.04107666015625,389.4061508178711,16
software developer,94.09944152832031,304.53618335723877,20
business analyst,163.3428955078125,504.2669677734375,34
analyst,329.1952028274536,221.6132049560547,2
management consultant,329.1952028274536,221.6132049560547,2
project manager,167.53326416015625,528.5585479736328,80
psychotherapist,464.9658660888672,276.0587863922119,2
board member,268.36541748046875,321.52405738830566,6
deputy manager,464.9658660888672,276.0587863922119,2
sales manager,138.9003143310547,436.0109405517578,36
chief operating officer,277.84552001953125,314.125452041626,4
ceo and founder,464.9658660888672,276.0587863922119,2
faculty,464.9658660888672,276.0587863922119,2
learning & development manager,464.9658660888672,276.0587863922119,2
account manager,128.91656494140625,468.2018127441406,78
professor,427.95867919921875,116.32521057128906,4
hr manager,556.0133819580078,317.56248664855957,4
intern,369.87937927246094,347.12573623657227,4
associate,128.79446411132812,524.783203125,36
student,293.3761100769043,481.234375,14
human resources manager,238.60302734375,494.2304382324219,12
president,135.1291046142578,513.9674835205078,52
managing partner,210.96456909179688,425.111328125,12
technical supervisor,299.72322845458984,108.647705078125,14
recruitment consultant,291.7920913696289,126.20986938476562,20
managing director,174.6641845703125,541.8235931396484,68
occupational therapist,310.81352043151855,126.31744384765625,14
adviseur,318.74227142333984,108.82992553710938,14
directeur,318.74227142333984,108.82992553710938,14
design manager,299.72322845458984,108.647705078125,14
senior principal consultant,310.81352043151855,126.31744384765625,14
scientist,470.4366760253906,120.73544311523438,8
research fellow,447.33287048339844,141.85018920898438,2
cto,110.30241394042969,369.83838653564453,10
partner,99.30439758300781,392.7698059082031,32
analytics consultant,432.7181625366211,134.430908203125,4
principal,121.17715454101562,500.2654266357422,34
software tester,468.58587646484375,171.0781021118164,2
director of information technology,332.50148725509644,251.70936965942383,2
it infrastructure manager,346.33634757995605,263.4926872253418,4
account executive,158.3291473388672,472.0847625732422,42
system engineer,332.50148725509644,251.70936965942383,2
systems engineer,366.7069721221924,255.46139526367188,8
administrator,180.64630126953125,495.08055114746094,6
developer,122.69000244140625,288.41965198516846,16
programmer,138.4156494140625,237.11510467529297,2
ceo,144.22959899902344,460.0754089355469,50
software engineer,102.16824340820312,320.3737487792969,22
sharepoint developer,138.4156494140625,237.11510467529297,2
founder,101.92771911621094,337.9099922180176,76
owner,99.44830322265625,456.2528991699219,80
front-end developer,131.9873046875,256.2637519836426,6
network engineer,393.38669204711914,266.11555099487305,6
